ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
100054,طلب إلغاء بلاغ ترك العمل (الأفراد),Desertion Cancelation Request Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات المواطنين > طلب إلغاء بلاغ ترك العمل (الأفراد),تمكـن الخدمـة صاحـب العمـل التقـدم بطلـب إلغـاء البلاغ ترك العمل ً األســباب المقنعــة إلغــاء البلاغ حيــث يحــق للمواطــن موضحــًا التقـدم بطلـب إلغـاء البلاغ تـرك العمـل المسـجل ضـد العامـل خلال مـدة أقصاهـا سـتة أشـهر مـن تاريـخ اعتمـاد البلاغ.,"This service allows an employer to request cancellation of a 'desertion from work' report filed against an employee, provided there are valid reasons. A citizen (employee) may also submit a request to cancel the desertion report registered against them, within six months from the report's approval date.",,,ارفاق المستندات التي تدعم طلب الإلغاء ان وجدت,Civil ID ; Passport ; Employment contract ; Written justification for cancellation ; Employer's official letter requesting cancellation,يتم تحصيل مبلغ 100 ريال عماني بعد الموافقة على الطلب .,,الكتروني,من 5 أيام إلى 7 أيام,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Desertion-Cancelation-Request-Individuals-54
100172,تسجيل إنهاء العقود للقوى العاملة العُمانية (المنشآت),Termination Service Omani Manpower Establishments,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات القوى العاملة العمانية > تسجيل إنهاء العقود للقوى العاملة العُمانية (المنشآت),خدمة إنهاء الخدمة تسمح لصاحب العمل بإنهاء علاقة الموظف بالمنشأة عن طريق تحديد نوع إنهاء الخدمة (إستقالة ، فصل ، تقاعد وغيرها) وتعبأت البيانات المطلوبه. يقوم النظام بإشعار الموظف بعملية إنهاء خدمته من المنشأة برسالة نصية.,"This service allows employers to officially terminate an Omani employee's contract by selecting the termination type (e.g., resignation, dismissal, retirement) and entering required details. The system automatically notifies the employee via SMS.",,,البطاقة المدنية لصاحب العمل ; البطاقة المدنية للموظف العُماني ; رقم عقد العمل ; إشعار إنهاء الخدمة موقّع من صاحب العمل,Civil ID of the employer ; Civil ID of the Omani employee ; Employment contract number ; Employer-signed termination notice,لايوجد,,الكتروني,خدمة ذاتية,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Termination-Service-Omani-Manpower-establishments-172
100210,تسجيل عقد العمل الفردي للعمانيين (المنشآت),The Registration Of Individual Contract For Omani Manpower Establishments,وزارة العمل,Ministry of Labour,124,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",خدمات القوى العاملة العمانية > تسجيل عقد العمل الفردي للعمانيين (المنشآت),تمكن هذه الخدمة صاحب العمل من تسجيل عقد عمل لباحثين عن عمل وإرساله للباحث عن العمل للإطلاع عليه دون الحاجة لمراجعة الوزارة ، كما تُمكن هذه الخدمة صاحب العمل من التعديل في العقد أو إلغاءه في حالة لم يقم الباحث عن عمل بعمل أي إجراء على العقد. كما يمكن لصاحب العمل طباعة العقود الإلكترونية في أي وقت المعتمده منها والملغية أيضاً.,"This service allows employers to register an individual employment contract for Omani job seekers and send it electronically for the job seeker's review, without visiting the ministry. Employers can also amend or cancel the contract if the job seeker takes no action on it, and print approved or cancelled electronic contracts at any time.",,,البطاقة المدنية لصاحب العمل ; البطاقة المدنية للباحث عن العمل ; رقم السجل التجاري للمنشأة ; نموذج عقد العمل الفردي المعتمد,Civil ID of the employer ; Civil ID of the job seeker ; Commercial registration number of the establishment ; Approved individual employment contract form,ريال عماني واحد,,الكتروني,خدمة ذاتية,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,[1] تسجيل الدخول على الخدمة من قبل صاحب العمل من خلال البطاقة المدنية أو بطاقة الهاتف الداعمة لنظام التصديق الالكتروني PKI . 2-يقوم صاحب العمل بإضافة عقد جديد بالضغط على زر إضافة عقد جديد. || [3] لإضافـة عقـد العمـل يترتـب عليـك اختيـار مصـدر التعييـن مـن خياريـن (عقـد مباشـر أو فرص شـاغرة مسـجلة سـابقًا فـي الـوزارة مـن قبل المنشـأة). || [4] فـي حالـة اختيـار مصـدر التعييـن (فـرص شـاغرة مسـجلة مسـبقًا) قـم بالضغـط علـى زر البحـث فـي الفـرص. || [5] سـتظهر لـك شاشـة الفـرص الشـاغرة المقدمـة للمنشـأة فـي وزارة العمـل ويمكـن البحـث عـن طريــق تحديــد مصــدر الفرصــة (الــكل، طلــب المنشــأة، خطــة التشــغيل، طلــب التوظيــف، مبــادرة دعـم الأجـور). || [6] ســتظهر الفــرص الشــاغرة التابعــة للمنشــأة المســجلة فــي وزارة العمــل، حــدد أي مــن الفــرص الظاهــرة مــن خلال الضغــط علــى - الخيــارات - اختيــار هــذه الفرصــة. || [7] بعــد اختيــار الفرصــة المحــددة مــن قائمــة الفــرص الشــاغرة للمنشــأة يتــم تعبئــة بيانــات الفرصــة مباشــرة بشــكل تلقائــي ويمكــن فقــط تعديــل العنــوان الإضافــي. || [8] بعد الضغط على التالي يتم الانتقال للخطوة التالية وهي بيانات الموظف. || [9] للبدء في البحث عن بيانات الموظف من خلال الضغط على - اضغط هنا للبحث -. || [10] يتم البحث بالرقم المدني وتاريخ الميلاد لجلب البيانات ويتـم تعبئـة البيانـات بشـكل تلقائـي، ويطلـب مـن المسـتخدم إدخـال تاريـخ التعييـن والمهنـة المـراد التعييـن عليهـا. || [11] فـي الخطـوة التاليـة يتـم اختيـار نـوع العقـد (محـدد المـدة، غيـر محـدد المـدة)وتعبئـة الحقـول الأخرى علمـا بأنـه يتـم تعبئـة حقـل الراتـب والـعلاوات بشـكل تلقائـي مـن بيانـات الفرصـة المختـارة ويمكـن التعديـل علـى هـذه الحقـول بحيـث يمكـن زيـادة بيانـات الأجـر أو يسـاوي المسـجل فـي الفرصـة فقـط. || [12] بعـد الضغـط علـى التالـي سـتظهر للمسـتخدم تفاصيـل البيانـات المدخلـة ويتطلـب التعهـد بـأن كل البيانـات صحيحـة ثـم تسـليم العقـد.( ملاحظــة: فــي حالــة اختيــار مصــدر التعييــن عقــد عمــل مباشــر يتطلــب تعبئــة الحقــول بشــكل يـدوي وإكمـال باقـي الخطـوات لغايـة آخـر خطـوة وهـي مراجعـة بيانـات العقـد وتسـليم العقـد). 13-للمزيد من التفاصيل يرجى الاطلاع على دليل المستخدم.,,11,,https://www.mol.gov.om/ManpowerAllEServices/Details/The-registration-of-individual-contract-for-Omani-manpower-establishments-210
100212,قبول عقد العمل الفردي (الأفراد),Acceptance Of Employment Contract Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات الباحثين عن عمل > قبول عقد العمل الفردي (الأفراد),تمكن هذه الخدمة الباحث عن عمل من الاطلاع على عقد العمل المقدم من قبل صاحب العمل أو المخول بإنجاز المعاملة بالمنشأة ، وبالتالي اتخاذ الإجراء المناسب بقبول العقـد أو رفضه.,"This service allows job seekers to view the employment contract submitted by the employer or authorized representative of the establishment, and then accept or reject it.",,,البطاقة المدنية ; جواز السفر ; رقم عقد العمل ; رسالة تأكيد من صاحب العمل أو المخول,Civil ID ; Passport ; Employment contract number ; Confirmation letter from employer or authorized representative,لا توجد رسوم .,,الكتروني,خدمة ذاتية.,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,[1] تسجيل الدخول على الخدمة من قبل المستخدم من خلال البطاقة المدنية أو بطاقة الهاتف الداعمة لنظام التصديق الالكتروني PKI. 2-يقوم الباحث عن عمل بالإطلاع على بيانات العقد من خلال بوابه خدمات الإفراد (الباحثين عن عمل)، ويتخذ الإجراء المناسب بقبول العقـد أو رفضه، في حالة قبول العقد يرسل النظام تلقائياً رسالة نصية لإعلام صاحب العمل والباحث عن عمل بالموافقة. 3-في حالة قبول العقد من الباحث عن عمل مع وجود عقود أخرى لم يتخذ فيها اي إجراء بعد، تتحول تلك العقود تلقائياً الى حالة الانتظار. 4-في حالة قبول الطرف الثاني للعقد فإن على المنشأة إكمال عملية الدفع من نفس الصفحة الخاصة بالخدمة. 5-بعد مرور ثلاثة أيام على قبول العقد دون إن تستكمل المنشأة إجراءات الدفع يستطيع الباحث عن عمل إعادة الرفض وتتم عملية إعادة العقود (في حالة الانتظار) إلى الحالة الأولية (تحت الإجراء). 6-بعد عملية الدفع يتم تسجيل الباحث عن عمل كموظف في المنشأة وتنعكس بيانات التعين في كل من صندوق الحماية الاجتماعية ووزارة العمل. 7-بمجرد دفع رسم العقد سيتم تغيير حالة عقود العمل الأخرى من حالة الإنتظار إلى حالة الرفض. 8-في حالة الرفض أو الإلغاء من كلا الطرفين صاحب العمل و الباحث عن عمل يتم إرسال رسالة نصية تلقائياً لإعلام الطرفين. 9-يسمح بطباعة العقد في الحالات التالية: - في حالة الدفع وعملية الاعتماد. - في حالة الرفض من قِبل الباحث عن عمل وتظهر عبارة مرفوض على العقد للطرفين. - في حالة الإلغاء من قِبل صاحب العمل تظهر عبارة ملغي على العقد للطرفين. 10-للمزيد من التفاصيل يرجى الاطلاع على دليل المستخدم.,,1,,https://www.mol.gov.om/ManpowerAllEServices/Details/Acceptance-of-Employment-contract-Individuals-212
100213,تقديم الشكاوى العُمالية (الأفرد),Submit Labor Complaints Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),الشكاوى والبلاغات > تقديم الشكاوى العُمالية (الأفرد),تمكين القوى العاملة من تقديم الشكاوى العمالية على منشآت القطاع الخاص في حال وجود مخالفات لأحكام قانون العمل، حيث توفر الخدمة إمكانية متابعة حالة الشكاوى المقدمة مسبقا و إظهار تفاصيل كل منها من خلال موقع الوزارة خدمات القوى العاملة، و توفر أيضا ميزة طلب إغلاق الشكوى (في حال توصل الشاكي و المشكو في حقه إلى تسوية فيما بينهم قبل بحث موظفي الوزارة للشكوى).,"Enables workers to submit labor complaints against private sector establishments for violations of the Labor Law, and allows tracking of complaint status and viewing details via the Ministry's 'Labor Force Services' portal; also enables complainants to request closure of a complaint if they reach a settlement with the employer before the Ministry reviews it.",,,حسب نوع شكوته في حالة لديه أي وثائق تثبت حقه فيمكنه رفعها من خلال الخدمة.,"Civil ID ; Passport (if expatriate) ; Employment contract ; Pay slips or evidence of employment ; Supporting documents related to the complaint (e.g., photos, messages, witness statements)",لايوجد,,الكتروني,يتم تقديم الطلب خلال دقائق أما دراسة الطلب وحجز مواعيد جلسات بحث الطلب من قبل المختصين في الوزارة فهي تعتمد على حجم طلبات الشكوى المقدمة خلال تلك الفترة الزمنية.,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مركز الإتصال مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Submit-Labor-Complaints-individuals-213
100215,تقديم البلاغات (الأفراد),Claims Submission Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),الشكاوى والبلاغات > تقديم البلاغات (الأفراد),تمكيـن المواطنيـن والمقيميـن والقـوى العاملـة مـن تقديـم البالغـات علـى المنشــآت المخالفــة ألحــكام قانــون العمــل وتقديــم بالغــات علــى القــوى العاملــة المخالفــة.,"Enables citizens, residents, and workers to submit complaints against establishments violating the Labour Law or against workers violating labour regulations.",,,البطاقة المدنية ; جواز السفر ; رقم هاتف مسجل ; بريد إلكتروني نشط ; تفاصيل البلاغ (مكان، تاريخ، ووصف الحادث),"Civil ID ; Passport ; Registered mobile number ; Active email address ; Complaint details (location, date, and incident description)",لايوجد,,الكتروني,من 5 أيام إلى 7 أيام,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مركز الإتصال مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Claims-submission-Individuals-215
100226,حركة التشغيل (الأفراد),Employment Movement Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات المواطنين > حركة التشغيل (الأفراد),الخدمة تمكن المواطن من الإطلاع على التاريخ الشخصي للحركة التشغيلية المخزن في قواعد بيانات وزارة العمل.,This service allows citizens to view their personal employment movement history stored in the Ministry of Labour's databases.,,,البطاقة المدنية ; رقم الهوية الوطنية ; اسم المستخدم وكلمة المرور لحساب ساند,Civil ID ; National ID number ; Sanad account username and password,لا يوجد,,الكتروني,خدمة ذاتية,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Employment-Movement-Individuals-226
100231,تسجيل بلاغ ترك عمل (المنشآت),Submit Desertion Request Establishments,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات القوى العاملة الغير عمانية > تسجيل بلاغ ترك عمل (المنشآت),تُمكن الخدمة صاحب العمل من تسجيل بلاغات ترك العمل على القوى العاملة غير العُمانية التاركة للعمل لمدة تزيد عن سبعة أيام متواصلة و تعذر التواصل معه ، حيث يجنب إعتماد بلاغ ترك العمل لدى الوزارة صاحب العمل التبعات القانونية الناتجة عن ضبط العامل المخالف.,This service allows employers to report the desertion of non-Omani workers who have abandoned their jobs for more than seven consecutive days and cannot be contacted. Submitting the desertion report with the Ministry protects the employer from legal liability arising from the worker’s violation.,,,"فيما يخص إثبات تسليم أجر العامل يتم التحقق بواسطة الربط مع نظام حماية الأجور في حال تم تسليم أجور العمل بعد إدخال تاريخ ترك العمل ثم الضغط على زر ""تحقق"" تظهر ملاحظة تفيد ""لقد تم التحقق من بيانات الأجور من خلال الربط الإلكتروني مع نظام حماية الأجور في حال عدم تحقق النظام ويوجد ما يثبت أداء أجور العامل لأخر ثلاثة شهور في أحد المصارف المحلية يتم إرفاق المستند و بعد ذلك يتم إكمال الحقول الأخرى مثل تاريخ ترك العمل و وصف واقعة ترك العمل.","Civil ID of the employer ; Passport or Civil ID of the deserted non-Omani worker ; Employment contract ; Proof of wage payment for the last three months (e.g., bank statement or Wage Protection System confirmation) ; Date and description of the desertion incident",لا يوجد رسوم، ينبغي دفع ثمن تذكرة تسفير العامل والرسوم والغرامات (إن وجدت),,الكتروني,من 5 أيام إلى 7 أيام,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Submit-Desertion-Request-establishments-231
100232,إدارة وثائق المنشأة (المنشآت),Document Repository Establishments,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),خدمات القوى العاملة الغير عمانية > إدارة وثائق المنشأة (المنشآت),تمكن الخدمة صاحب العمل من رفع الوثائق المطلوبة منه لتقديم الخدمات كعقد الإيجار والترخيص البلدي أو ملكية العقار أو عقد التوطين الصناعي، حيث يقوم النظام بحفظ هذه الوثائق والاستفادة منها بشكل تلقائي في تقديم خدمات أخرى.,"This service allows employers to upload required documents—such as rental contracts, municipal licenses, property ownership deeds, or industrial localization agreements—to the system; these documents are stored and automatically reused for other Ministry of Labour services.",,,المستندات التي يرغب صاحب العمل في رفعها بالنظام للاستفادة من خدمات الوزارة كعقد الايجار والترخيص البلدي.,Civil ID ; Passport (for non-Omani employer) ; Rental Contract ; Municipal License ; Industrial Localization Agreement,لا يوجد,,الكتروني,3 أيام,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Document-Repository-establishments-232
100233,التظلم من بلاغ ترك العمل (الأفراد),Grievance From Desertion Report Individuals,وزارة العمل,Ministry of Labour,124,,,من الحكومة الى الأفراد(G2C),الشكاوى والبلاغات > التظلم من بلاغ ترك العمل (الأفراد),تمكن الخدمة القوى العاملة غير العمانية التظلم من بلاغ ترك العمل المقدم عليها والمسجل في نظام الوزارة في حال وجود أسباب مقنعة بذلك.,"This service allows non-Omani workers to file a grievance against a recorded 'desertion from work' report filed against them in the Ministry's system, provided they have valid grounds.",,,المستندات التي تدعم طلب التظلم ان وجدت.,Civil ID ; Passport ; Employment contract ; Supporting documents justifying the grievance,لا يوجد,,الكتروني,من أسبوع إلى أسوعين,,,,بوابة الخدمات الإلكترونية - الموقع الإلكتروني مكاتب سند,,+968 80077000,www.mol.gov.om,,,0,,https://www.mol.gov.om/ManpowerAllEServices/Details/Grievance-from-desertion-report-Individuals-233
