ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
110100,استمارة الفحص الطبي,Medical Examination Form,وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة لتعبئة واستلام استمارة الفحص الطبي المطلوبة عادةً لأغراض مثل التوظيف أو الإقامة أو السفر.,"A service to complete and obtain the medical examination form, typically required for employment, residency, or travel purposes.",,,البطاقة المدنية ; جواز السفر ; صورة شخصية حديثة ; خطاب طلب الفحص من الجهة المُطلوبة,Civil ID ; Passport ; Recent passport-sized photograph ; Request letter for medical examination from the requesting authority,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110101,اصدار بطاقة مقيم جديدة (غير عامل),Issue New Resident Card (Non-Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة إصدار بطاقة مقيم جديدة للمقيمين في سلطنة عمان الذين لا يعملون.,Service to issue a new resident card for non-working residents in the Sultanate of Oman.,,,البطاقة المدنية ; جواز السفر ; شهادة الإقامة السابقة (إن وجدت) ; صورة شخصية حديثة,Civil ID ; Passport ; Previous residence certificate (if available) ; Recent personal photograph,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110102,اصدار بطاقة مقيم وعمل جديد (عامل),Issue New Resident and Work Card (Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة إصدار بطاقة مقيم وعمل جديدة للموظفين العاملين في القطاع الصحي.,Service to issue a new resident and work card for workers employed in the health sector.,,,البطاقة المدنية ; جواز السفر ; عقد العمل المعتمد من وزارة الصحة ; شهادة صحية سارية المفعول ; خطاب تعيين من الجهة الصحية المعنية,Civil ID ; Passport ; Employment contract approved by the Ministry of Health ; Valid medical fitness certificate ; Appointment letter from the concerned health authority,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110103,اصدار بطاقة مقيم وعمل وبطاقة صحية جديدة,"Issue New Resident, Work, and Health Card",وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة إصدار بطاقات جديدة للمقيمين والعمال والبطاقة الصحية من وزارة الصحة.,"Service to issue new resident, work, and health cards from the Ministry of Health.",,,البطاقة المدنية ; جواز السفر ; شهادة تسجيل الإقامة أو تصريح العمل ; خطاب توصية من جهة العمل أو الجهة الراعية ; صورة شخصية حديثة,Civil ID ; Passport ; Residence registration certificate or work permit ; Recommendation letter from employer or sponsoring authority ; Recent personal photograph,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110104,تجديد بطاقة مقيم (غير عامل),Resident Card Renewal (Non-Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة تجديد بطاقة المقيم للأشخاص غير العاملين في سلطنة عُمان.,Service to renew the resident card for non-working individuals in the Sultanate of Oman.,,,البطاقة المدنية ; جواز السفر الأصلي ; صورة شخصية حديثة ; إثبات الإقامة أو تأشيرة الإقامة السارية,Civil ID ; Original passport ; Recent personal photograph ; Proof of residence or valid residence visa,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110105,تجديد بطاقة مقيم وعمل (عامل),Renew Residency and Work Card (Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة تجديد بطاقة المقيم ورخصة العمل للعاملين في القطاع الخاص.,Service to renew the residency and work card for private-sector workers.,,,البطاقة المدنية ; جواز السفر الأصلي ; رخصة العمل الحالية ; عقد العمل المعتمد من وزارة العمل,Civil ID ; Original passport ; Current work permit ; Employment contract approved by the Ministry of Labour,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110106,تجديد بطاقة مقيم وعمل وبطاقة صحية,"Renew Residency, Work, and Health Cards",وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة تجديد بطاقات المقيم، وبطاقات العمل، والبطاقات الصحية الصادرة من وزارة الصحة.,"Service to renew residency cards, work cards, and health cards issued by the Ministry of Health.",,,البطاقة المدنية ; جواز السفر ; البطاقة القديمة المراد تجديدها ; إثبات دفع الرسوم (إن وجد),Civil ID ; Passport ; Expired card to be renewed ; Proof of fee payment (if applicable),تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110107,تغيير الكفيل - بطاقة مقيم (غير عامل),Sponsor Change – Resident Card (Non-Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة لتغيير الكفيل المُسجَّل على بطاقة مقيم غير عامل في سجلات وزارة الصحة.,Service to change the sponsor registered on a non-worker resident card in the Ministry of Health records.,,,البطاقة المدنية ; جواز السفر ; بطاقة المقيم الحالية ; خطاب موافقة الكفيل الجديد ; إثبات العلاقة أو السبب القانوني لتغيير الكفيل,Civil ID ; Passport ; Current resident card ; Sponsorship transfer approval letter from new sponsor ; Proof of relationship or legal basis for sponsor change,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110108,تغيير الكفيل- بطاقة مقيم وعمل (عامل),Change of Sponsor – Resident and Work Card (Worker),وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة تسمح للموظف الوافد بتغيير كفيله مع تحديث بطاقة المقيم ورخصة العمل وفقاً للإجراءات المعمول بها في سلطنة عُمان.,"A service that allows an expatriate worker to change their sponsor, with corresponding updates to the residence card and work permit in accordance with Omani regulations.",,,البطاقة المدنية ; جواز السفر ; بطاقة المقيم الحالية ; رخصة العمل الحالية ; خطاب موافقة الكفيل الجديد,Civil ID ; Passport ; Current residence card ; Current work permit ; Letter of consent from the new sponsor,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110109,تغيير الكفيل- بطاقة مقيم وعمل وبطاقة صحية,Change Sponsor – Resident & Work Card and Health Card,وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة لتغيير الكفيل المرتبط ببطاقة المقيم وعمل وبطاقة الصحة.,Service to change the sponsor associated with the resident and work card and health card.,,,البطاقة المدنية ; جواز السفر ; بطاقة المقيم وعمل الحالية ; بطاقة الصحة الحالية ; خطاب موافقة الكفيل الجديد,Civil ID ; Passport ; Current resident and work card ; Current health card ; Sponsorship acceptance letter from new sponsor,تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
110110,اصدار / تجديد البطاقة الصحيةفقط,Issue or Renew Health Card,وزارة الصحة,Ministry of Health,122,,,من الحكومة الى الأفراد(G2C),,خدمة إصدار أو تجديد البطاقة الصحية للمواطنين والمقيمين في سلطنة عُمان.,Service to issue or renew the health card for citizens and residents in the Sultanate of Oman.,,,البطاقة المدنية ; صورة شخصية حديثة ; شهادة فحص طبي (إن وجدت) ; رقم الهوية الصحية السابق (للتاريخ),Civil ID ; Recent passport-sized photograph ; Medical fitness certificate (if applicable) ; Previous health ID number (for renewal),تقديم: 4 ر.ع,,الكتروني,,,,,بوابة سند للخدمات الإلكترونية,,+968 80077000,www.sanad.om,,,,,https://www.sanad.om/smartformsOnline/PublicSite/Home/SanadServicePriceList
