ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
160000,تسجيل عقد إيجار جديد لمؤجر نوعه (فرد),New Rent Contract for landlord type (Person),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة تسجيل عقد إيجار جديد بين مالك عقار فرد ومستأجر.,Service to register a new rental contract between an individual property owner and a tenant.,,,البطاقة المدنية للمؤجر ; البطاقة المدنية للمستأجر ; صك ملكية العقار أو عقد الإيجار السابق ; تفاصيل العقار (رقم القطعة، رقم البلوك، اسم المنطقة) ; نسخة من عقد الإيجار الموقع من الطرفين,"Civil ID of the landlord ; Civil ID of the tenant ; Property title deed or previous rental contract ; Property details (plot number, block number, area name) ; Signed copy of the rental contract by both parties",,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTI=
160001,تسجيل عقد إيجار جديد لمؤجر نوعه (شركة),New Rent Contract for landlord type (Company),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",طلب جديد > عقود الايجار,خدمة تسجيل عقد إيجار جديد حيث يكون المؤجر شركة مسجلة في سلطنة عُمان.,A service to register a new rental contract where the landlord is a company registered in the Sultanate of Oman.,,,البطاقة المدنية لمسؤول الشركة ; صورة من السجل التجاري للشركة ; عقد الإيجار الموقّع من الطرفين ; جواز سفر المالك أو الممثل القانوني (إذا كان أجنبياً) ; تفويض رسمي لممثل الشركة (إن وجد),Civil ID of the company’s authorized representative ; Copy of the company’s commercial registration ; Signed rental agreement by both parties ; Passport of the owner or legal representative (if foreign) ; Official authorization letter for the company’s representative (if applicable),,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTM=
160002,تسجيل عقد إيجار جديد لمؤجر نوعه (وكيل فرد),New Rent Contract for landlord type (Person Representative),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,تسجيل عقد إيجار جديد باسم وكيل فرد يمثل المالك.,Registering a new rent contract under an individual representative acting on behalf of the landlord.,,,البطاقة المدنية للمؤجر والوكيل ; صورة من عقد الوكالة الموثقة ; سند ملكية العقار أو إثبات الحيازة ; جواز سفر الوكيل (إذا كان غير عماني) ; رقم حساب بنكي للمؤجر,Civil ID of landlord and representative ; certified copy of power of attorney ; property title deed or proof of possession ; passport of representative (if non-Omani) ; landlord’s bank account number,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTQ=
160003,تسجيل عقد إيجار جديد لمؤجر نوعه (وكيل شركة),New Rent Contract for landlord type (Company Representative),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",طلب جديد > عقود الايجار,خدمة تسجيل عقد إيجار جديد حيث يكون المؤجر ممثلًا معتمدًا لشركة.,Service to register a new rent contract where the landlord is an authorized representative of a company.,,,البطاقة المدنية للمؤجر (كممثل شركة) ; جواز سفر المؤجر (إذا كان غير عماني) ; تفويض رسمي من الشركة يُثبت صفة التمثيل ; سند ملكية العقار أو عقد إيجار سابق للعقار ؛ رقم السجل التجاري للشركة,Civil ID of the landlord (as company representative) ; Passport of the landlord (if non-Omani) ; Official authorization letter from the company proving representation authority ; Property ownership deed or previous rental contract for the property ; Company commercial registration number,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTU=
160004,تسجيل عقد إيجار جديد لمؤجر نوعه (ورثة),New Rent Contract for landlord type (Heirs),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,تسجيل عقد إيجار جديد باسم الورثة كمؤجرين للعقار بعد وفاة المالك الأصلي.,Registering a new rent contract in the name of heirs acting as landlords for the property following the original owner's death.,,,البطاقة المدنية للورثة ; شهادة الوفاة للمالك الأصلي ; صك الحصر أو حكم المحكمة المُثبت للورثة ; سند ملكية العقار ; جواز السفر (إذا كان الوريث غير عماني),Civil ID of the heirs ; Death certificate of the original owner ; Inheritance certificate or court judgment confirming heirs' rights ; Property title deed ; Passport (if heir is non-Omani),,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTY=
160005,تسجيل عقد إيجار جديد استثماري (التأجير من الباطن),تسجيل عقد إيجار جديد استثماري (التأجير من الباطن),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة لتسجيل عقد إيجار جديد لأغراض استثمارية، بما في ذلك التأجير من الباطن.,"A service to register a new investment-related rental contract, including subleasing.",,,البطاقة المدنية للمؤجر والمستأجر ; عقد الإيجار الأصلي ; سند ملكية العقار أو وثيقة تثبت الحق في التأجير ; شهادة تسجيل النشاط التجاري (إذا كان المستأجر كياناً تجارياً) ; جواز السفر للوافدين,Civil ID of landlord and tenant ; Original lease agreement ; Property ownership deed or document proving leasing authority ; Commercial registration certificate (if tenant is a commercial entity) ; Passport for expatriates,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTc=
160006,إلغاء عقد إيجار,Cancel Rent Contract,بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة لإلغاء عقد إيجار مسجل سابقًا لدى بلدية مسقط.,Service to cancel a previously registered rent contract with Muscat Municipality.,,,البطاقة المدنية للمؤجر ; البطاقة المدنية للمستأجر ; نسخة من عقد الإيجار الأصلي ; إقرار كتابي بالموافقة على الإلغاء من الطرفين,Civil ID of the landlord ; Civil ID of the tenant ; Original copy of the rent contract ; Written consent letter signed by both parties,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTg=
160007,تعديل عقد إيجار,Modify Rent Contract,بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة لتعديل تفاصيل عقد إيجار ساري المفعول مسجل لدى بلدية مسقط.,A service to amend details of an active rent contract registered with Muscat Municipality.,,,البطاقة المدنية ; جواز السفر (لغير العمانيين) ; عقد الإيجار الأصلي ; إثبات دفع الرسوم (إن وُجد) ; خطاب موافقة المالك (في حال التعديلات الجوهرية),Civil ID ; Passport (for non-Omanis) ; Original rent contract ; Proof of fee payment (if applicable) ; Owner’s consent letter (for substantial amendments),,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MTk=
160008,تجديد عقد الإيجار,Renewal Rent Contract,بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة تجديد عقد إيجار ساري المفعول مع بلدية مسقط.,Service to renew an existing rental contract with Muscat Municipality.,,,البطاقة المدنية ; جواز السفر (لغير العمانيين) ; عقد الإيجار السابق ; وثيقة ملكية العقار أو إقرار المالك ; دفع رسوم التجديد,Civil ID ; Passport (for non-Omanis) ; Previous rental contract ; Property ownership document or owner’s declaration ; Renewal fee payment,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/MjA=
160009,تسجيل عقد إيجار (وجود نزاع قضائي),تسجيل عقد إيجار (وجود نزاع قضائي),بلدية مسقط,Muscat Municipality,119,عقود الايجار,Rent Contract,من الحكومة الى الأفراد(G2C),طلب جديد > عقود الايجار,خدمة لتسجيل عقد إيجار في حال وجود نزاع قضائي متعلق بالعقد.,A service to register a rental contract when there is an ongoing judicial dispute related to the contract.,,,البطاقة المدنية ; جواز السفر (لغير العمانيين) ; صورة من عقد الإيجار ; صورة من القرار أو الإشعار القضائي المتعلق بالنزاع,Civil ID ; Passport (for non-Omanis) ; Copy of the rental contract ; Copy of the judicial decision or notice related to the dispute,,,الكتروني,,,,,بوابة الخدمات الإلكترونية لبلدية مسقط,,+968 24683330,eservices.mm.gov.om,,,,,https://eservices.mm.gov.om/Home/Form/NzA=
