ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
150000,طلب أرض سكنية-الخيارات الإسكانية (إقتن أرضك),Residential Land Request – Housing Options (Acquire Your Land),وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب للحصول على قطعة أرض سكنية ضمن برامج الخيارات الإسكانية التي توفرها وزارة الإسكان والتخطيط العمراني.,A service that allows citizens to apply for a residential land plot under the housing options programs provided by the Ministry of Housing and Urban Planning.,,,البطاقة المدنية ; صورة شخصية حديثة ; شهادة عدم ملكية أرض سكنية سابقة ; إثبات الدخل الشهري,Civil ID ; Recent personal photograph ; Certificate of non-ownership of prior residential land ; Proof of monthly income,,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150001,طلب أرض سكنية-الخيارات الإسكانية (المدن المستقبلية),Residential Land Request – Housing Options (Future Cities),وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب للحصول على قطعة أرض سكنية ضمن مشاريع المدن المستقبلية.,A service that allows citizens to apply for a residential land plot within Future Cities housing projects.,,,البطاقة المدنية ; صورة شخصية حديثة ; شهادة عدم امتلاك أرض سكنية ; إثبات الحالة الاجتماعية (إن وجد),Civil ID ; Recent personal photograph ; Certificate of non-ownership of residential land ; Proof of marital status (if applicable),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150002,طلب أرض سكنية-الخيارات الإسكانية (خطط أرضك),Residential Land Request – Housing Options (Plan Your Land),وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب للحصول على قطعة أرض سكنية ضمن مشاريع الخطط الإسكانية الحكومية.,A service that allows citizens to apply for a residential land plot under government housing planning initiatives.,,,البطاقة المدنية ; شهادة الجنسية العمانية ; صورة شخصية حديثة ; إثبات الحالة الاجتماعية (إن وجد) ; إثبات الدخل (إن وجد),Civil ID ; Omani Nationality Certificate ; Recent personal photograph ; Proof of marital status (if applicable) ; Proof of income (if applicable),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150003,طلب أرض سكنية-الخيارات الإسكانية(الأحياء السكنية المتكاملة),Residential Land Request – Housing Options (Integrated Residential Communities),وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب للحصول على قطعة أرض سكنية ضمن الأحياء السكنية المتكاملة التي توفرها وزارة الإسكان والتخطيط العمراني.,A service that allows citizens to apply for a residential land plot within integrated residential communities provided by the Ministry of Housing and Urban Planning.,,,البطاقة المدنية ; صورة شخصية حديثة ; شهادة عدم ملكية أرض سكنية سابقة ; إثبات الدخل الشهري,Civil ID ; Recent personal photograph ; Certificate of non-ownership of prior residential land ; Proof of monthly income,,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150004,طلب تظلم من قرار لجنة إثبات  وتسجيل الملك,Appeal Against Real Estate Verification and Registration Committee Decision,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطن التظلم من قرار صادر عن لجنة إثبات وتسجيل الملكية العقارية.,A service that allows citizens to appeal a decision issued by the Real Estate Verification and Registration Committee.,,,البطاقة المدنية ; خطاب التظلم الموقّع من مقدّم الطلب ; نسخة من قرار لجنة إثبات وتسجيل الملكية العقارية ؛ إثبات الحضور أو التفويض القانوني (إن وجد),Civil ID ; Signed appeal letter from the applicant ; Copy of the Real Estate Verification and Registration Committee decision ; Proof of attendance or legal power of attorney (if applicable),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150005,طلب منح حق الإنتفاع-إختر واستثمر,Apply for Usufruct Right – Choose and Invest,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب منح حق الانتفاع على أراضٍ حكومية مخصصة للاستثمار أو التطوير العقاري.,A service that allows citizens to apply for a usufruct right on government-owned land designated for investment or real estate development.,,,البطاقة المدنية ; صورة شخصية حديثة ; خطة مشروع استثماري مقترحة ; شهادة عدم ممانعة من الجهة المعنية (إن وجدت),Civil ID ; Recent passport-sized photograph ; Proposed investment project plan ; No-objection certificate from the concerned authority (if applicable),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150006,طلب منح حق الإنتفاع-اقترح مشروعك,Apply for Usufruct Right – Propose Your Project,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب منح حق الانتفاع على أرض حكومية لتنفيذ مشروع مقترح.,A service that allows citizens to apply for a usufruct right on government land to implement a proposed project.,,,البطاقة المدنية ; خطاب اقتراح المشروع مفصلاً ; دراسة جدوى أولية للمشروع ; شهادة عدم ممانعة من الجهة المعنية (إن وجدت),Civil ID ; Detailed project proposal letter ; Preliminary feasibility study for the project ; No-objection certificate from the concerned authority (if applicable),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150007,طلب منح حق الإنتفاع-الفرص الإستثمارية,Apply for Right of Use – Investment Opportunities,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين التقدم بطلب للحصول على حق الانتفاع في أراضٍ مخصصة لفرص استثمارية ضمن مشاريع الإسكان والتخطيط العمراني.,A service that allows citizens to apply for the right of use of land designated for investment opportunities under housing and urban planning projects.,,,البطاقة المدنية ; صورة شخصية حديثة ; وثيقة توضح الفكرة الاستثمارية أو دراسة جدوى أولية ; رقم الحساب البنكي,Civil ID ; Recent passport-sized photograph ; Document outlining the investment concept or preliminary feasibility study ; Bank account number,,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150008,طلب منح حق الإنتفاع-المزادات,Request Beneficial Use Right – Auctions,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للأفراد التقدم بطلب للحصول على حق الانتفاع في أراضٍ حكومية يتم طرحها عبر المزادات.,A service that allows individuals to apply for a beneficial use right on government land offered through auctions.,,,البطاقة المدنية ; صورة من جواز السفر (لغير العمانيين) ; شهادة عدم ممانعة من الجهة الحكومية المختصة (إن وجدت) ; إثبات دفع مبلغ التأمين المطلوب للمزايدة,Civil ID ; Passport copy (for non-Omanis) ; No-objection certificate from the competent government authority (if applicable) ; Proof of payment of the required auction security deposit,,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
150009,طلب إثبات وتسجيل الملك,Request Proof and Registration of Ownership,وزارة الإسكان والتخطيط العمراني,Ministry of Housing and Urban Planning,2210,,,من الحكومة الى الأفراد(G2C),الأراضي,خدمة تتيح للمواطنين طلب إثبات ملكية عقار وتسجيلها رسمياً لدى وزارة الإسكان والتخطيط العمراني.,A service that allows citizens to request proof of real estate ownership and officially register it with the Ministry of Housing and Urban Planning.,,,البطاقة المدنية ; صك الملكية أو وثيقة الشراء الأصلية ; شهادة التقييم العقاري (إن وجدت) ; خطاب تفويض (في حالة التوكيل),Civil ID ; Original title deed or purchase document ; Real estate valuation certificate (if applicable) ; Power of attorney letter (if authorized),,,الكتروني,,,,,بوابة وزارة الإسكان والتخطيط العمراني (mohup.gov.om),,+968 80000099,mohup.gov.om,,,,,https://mohup.gov.om/ar/e-services?category=%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A
