Path	GoogleTitle
/arabic/CircusShowspermits.aspx	خدمة طلب الموافقة الأمنية لإقامة عروض السيركشرطة عمان السلطانية
/arabic/CommercialExhibitionsPermits.aspx	الموافقة الأمنية لإقامة معارض دوليةشرطة عمان السلطانية
/arabic/EscortservicesLogin.aspx	المرافقات الأمنية والمروريةشرطة عمان السلطانية
/arabic/GoodConductCER.aspx	شهادة حسن السيرة والسلوكشرطة عمان السلطانية
/arabic/NonConvictionCER.aspx	شهادة عدم محكوميةشرطة عمان السلطانية
/arabic/SMS.aspx	خدمة الرسائل القصيرةشرطة عمان السلطانية
/arabic/SecurityEscort.aspx	شرطة عُمان السلطانية - خدمة طلب المرافقات الأمنيةشرطة عمان السلطانية
/arabic/TouristBoatsAnchoringPermits.aspx	خدمة طلب الموافقة الأمنية لرسو السفن السياحيةشرطة عمان السلطانية
/arabic/TrafficEscort.aspx	خدمة طلب المرافقات المروريةشرطة عمان السلطانية
/arabic/TrafficFinesPayment.aspx	الإستفسار ودفع المخالفات المروريةشرطة عمان السلطانية
/arabic/VehicleOwnershipTransfer.aspx	نقل سجل مركبة إلكترونياًشرطة عمان السلطانية
/arabic/Vehicle_Registration_renewal.aspx	خدمة طلب تجديد سجل المركبةشرطة عمان السلطانية
/arabic/Visas.aspx	أنواع التأشيراتشرطة عمان السلطانية
/arabic/amendment_committee.aspx	تصحيح القيود - استخراج شهادة تقدير سن لاستخراج بطاقةشرطة عمان السلطانية
/arabic/birth.aspx	استخراج شهادة ميلاد (للعمانيين والمقيمين)شرطة عمان السلطانية
/arabic/civil_info_update.aspx	تحديث البيانات للإشخاص مع الأبناء دون 18 سنةشرطة عمان السلطانية
/arabic/contactus.aspx	ساعات العملشرطة عمان السلطانية
/arabic/driver_license_renewal.aspx	خدمة طلب تجديد رخصة سياقةشرطة عمان السلطانية
/arabic/e_id.aspx	خدمة إصدار بطاقة الاحوال المدنية (لشخص)شرطة عمان السلطانية
/arabic/e_id_batch.aspx	خدمة تجديد بطاقة مقيم - طلب لمجموعة أشخاصشرطة عمان السلطانية
/arabic/e_passport.aspx	خدمة إصدار الجواز العمانيشرطة عمان السلطانية
/arabic/eforms_mainpage.aspx	الأحوال المدنية والجواز الإلكترونيشرطة عمان السلطانية
/arabic/faqs.aspx	سؤال وجوابشرطة عمان السلطانية
/arabic/mobileservice.aspx	تطبيق الشرطة على الهواتف الذكيةشرطة عمان السلطانية
/arabic/new_driving_license.aspx	إصدار رخصة سياقة جديدةشرطة عمان السلطانية
/arabic/omani_id.aspx	إصدار البطاقة الشخصية / جديدشرطة عمان السلطانية
/arabic/organization.aspx	الهيكل التنظيميشرطة عمان السلطانية
/arabic/reg_marriage_divorce.aspx	استخراج شهادة الزواج والطلاق(للعمانيين والمقيمين)شرطة عمان السلطانية
/arabic/resident_id.aspx	إصدار بطاقات الإقامة جديدشرطة عمان السلطانية
/arabic/ropphones.aspx	أرقام هواتف الشرطةشرطة عمان السلطانية
/arabic/trafficservices_mainpage.aspx	شرطة عُمان السلطانية - الخدمات اللإلكترونية للمرورشرطة عمان السلطانية
