ServiceID,ServiceNameAr,ServiceNameEn,EntityAr,EntityEn,EntityID,EntityDepartmentAr,EntityDepartmentEn,Beneficiary,MainService,DescriptionAr,DescriptionEn,SpecialConditionsAr,SpecialConditionsEn,RequiredDocumentsAr,RequiredDocumentsEn,FeesAr,FeesEn,PaymentMethod,AvgTimeTakenAr,AvgTimeTakenEn,WorkingTimeAr,WorkingTimeEn,Channels,InputChannelOthers,CustomerCarePhone,Website,ProcessStepsAr,ProcessStepsEn,NumSteps,AudienceVisitCount,ServiceURL
130000,خدمات التراخيص والتصاريح,Licensing And Permit Services,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,توفير خدمات إصدار وتجديد وتغيير وسحب التراخيص والتصاريح المتعلقة بالنقل والاتصالات وتقنية المعلومات لقطاع الأعمال.,"Provides licensing and permit services—including issuance, renewal, amendment, and cancellation—for transport, communications, and IT-related activities for businesses.",,,البطاقة المدنية أو جواز السفر ; سجل تجاري ساري المفعول ; رخصة نشاط مهني ذات صلة (إن وجدت) ; وثائق مشروع الطلب (مثل خطة تقنية أو دراسة جدوى حسب النوع),"Civil ID or passport ; Valid commercial registration ; Relevant professional activity license (if applicable) ; Project documents related to the application (e.g., technical plan or feasibility study, as required)",,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/336
130001,نقل الركاب والبضائع,Passenger Goods Transport,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تتعلق بتنظيم وترخيص نقل الركاب والبضائع عبر وسائل النقل البري في سلطنة عُمان.,A service related to regulating and licensing passenger and goods transport by road in the Sultanate of Oman.,,,البطاقة المدنية ; رخصة القيادة السارية ; شهادة تسجيل المركبة ; رخصة نشاط نقل الركاب أو البضائع ; شهادة فحص فني للمركبة,Civil ID ; Valid driving license ; Vehicle registration certificate ; Passenger or goods transport activity license ; Vehicle technical inspection certificate,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/338
130002,خدمة الاستضافة السحابية ومراكز البيانات,Cloud Hosting And Data Center Services,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,توفر الوزارة حلولاً لاستضافة التطبيقات والبيانات في بيئة سحابية آمنة ومراكز بيانات معتمدة.,"Provides secure cloud-based hosting solutions for applications and data, along with certified data center services.",,,البطاقة المدنية أو جواز السفر ; سجل تجاري ساري المفعول ; وثيقة تسجيل الشركة لدى وزارة التجارة ; خطاب طلب خدمة الاستضافة السحابية موقّع من الممثل القانوني,Civil ID or Passport ; Valid commercial registration ; Company registration certificate from the Ministry of Commerce ; Signed service request letter from the authorized legal representative,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/405
130003,خدمات التقييم الأمني,Security Assessment Services,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,توفير تقييمات أمنية للأنظمة والبنية التحتية الرقمية الخاصة بقطاع الأعمال لضمان الامتثال للمعايير الأمنية الوطنية.,Provides security assessments for digital systems and infrastructure of businesses to ensure compliance with national cybersecurity standards.,,,البطاقة المدنية أو جواز السفر ; سند تسجيل الشركة أو الرخصة التجارية ; وثائق وصف النظام أو البنية التحتية المراد تقييمها ; خطاب طلب رسمي من الجهة المقدمة للطلب,Civil ID or Passport ; Company registration certificate or commercial license ; System or infrastructure description documents ; Official request letter from the applying entity,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/406
130004,إلغاء ترخيص تأجير وسائل النقل البري للركاب بدون سائق,Cancellation Of The License For Renting Out Land Passenger Transport Vehicles Without A Driver,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,"من الحكومة إلى قطاع الأعمال(G2B),من الحكومة الى الأفراد(G2C)",,خدمة لإلغاء ترخيص تأجير وسائل النقل البري للركاب بدون سائق المُصدر من وزارة النقل والاتصالات وتقنية المعلومات.,"A service to cancel a license for renting out land passenger transport vehicles without a driver, issued by the Ministry of Transport, Communications and IT.",,,البطاقة المدنية ; صورة من رخصة تأجير وسائل النقل البري للركاب بدون سائق المراد إلغاؤها ; خطاب رسمي موجه للوزارة يطلب فيه الإلغاء ; رقم السجل التجاري (للمؤسسات),Civil ID ; Copy of the land passenger transport vehicle rental license to be cancelled ; Official letter addressed to the ministry requesting cancellation ; Commercial registration number (for establishments),,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/617
130005,إصدار تصريح إنشاء التقاطعات أو المداخل أو المخارج,Issuing A Permit For The Construction Of Intersections Entrances Or Exits,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تتيح لقطاع الأعمال الحصول على تصريح رسمي من وزارة النقل والاتصالات وتقنية المعلومات لإنشاء تقاطعات أو مداخل أو مخارج على الطرق العامة.,"A service that enables businesses to obtain an official permit from the Ministry of Transport, Communications and IT for constructing intersections, entrances, or exits on public roads.",,,البطاقة المدنية للممثل القانوني ; جواز السفر (إذا كان الممثل أجنبيًا) ; سند ملكية أو عقد إيجار الموقع ; رخصة مزاولة النشاط التجاري ; رسوم التصريح المدفوعة,Civil ID of the authorized representative ; Passport (if the representative is foreign) ; Title deed or lease agreement for the site ; Commercial registration license ; Paid permit fee,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/631
130006,تجديد تصريح إنشاء التقاطعات أو المداخل أو المخارج,Renewal Of The Permit For The Construction Of Intersections Entrances Or Exits,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تتيح لقطاع الأعمال تجديد تصريح إنشاء التقاطعات أو المداخل أو المخارج المُصدر من وزارة النقل والاتصالات وتقنية المعلومات.,"A service that allows businesses to renew the permit for constructing intersections, entrances, or exits issued by the Ministry of Transport, Communications and IT.",,,البطاقة المدنية للممثل القانوني ; جواز السفر (إذا كان ممثلًا أجنبيًا) ; التصريح الأصلي المراد تجديده ; شهادة تسجيل الشركة أو السجل التجاري ; خطاب تفويض رسمي إذا كان مقدم الطلب غير الممثل القانوني,Civil ID of the authorized representative ; Passport (if the representative is foreign) ; Original permit to be renewed ; Company registration certificate or commercial registration ; Official authorization letter if applicant is not the legal representative,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/632
130007,إصدار تراخيص تأجير معدات النقل البحري,Issuance Of Licenses For Leasing Maritime Transport Equipment,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تُصدر تراخيص لتأجير معدات النقل البحري للشركات العاملة في القطاع الخاص.,A service that issues licenses for leasing maritime transport equipment to private sector companies.,,,البطاقة المدنية أو جواز السفر ; سجل تجاري ساري المفعول ; وثيقة ملكية أو تفويض قانوني لمعدات النقل البحري ; شهادة فحص فني لمعدات النقل البحري ; خطاب طلب ترخيص من الجهة المقدمة للطلب,Civil ID or Passport ; Valid commercial registration ; Proof of ownership or legal authorization for maritime transport equipment ; Technical inspection certificate for maritime transport equipment ; License application letter from the applying entity,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/633
130008,إصدار تصريح الحفر أو القطع على الطريق أو بجانبه في آن واحد,Issuing A Permit For Excavation Or Cutting On Or Beside The Road Simultaneously,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تتيح لقطاع الأعمال الحصول على تصريح رسمي للقيام بأعمال الحفر أو القطع على الطريق أو بجانبه في الوقت نفسه.,A service that enables businesses to obtain an official permit to carry out excavation or cutting works on or beside a road simultaneously.,,,البطاقة المدنية للمُقدِّم ; جواز السفر (إذا كان مقدم الطلب أجنبيًا) ; سجل تجاري ساري المفعول ; رخصة المقاول (إن وجدت) ; خريطة موقع العمل مع تحديد دقيق لموقع الحفر أو القطع,Civil ID of the applicant ; Passport (if the applicant is foreign) ; Valid commercial registration ; Contractor’s license (if applicable) ; Site location map with precise marking of the excavation or cutting area,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/634
130009,تجديد تراخيص تأجير معدات النقل البحري,Renewal Of Licenses For Leasing Maritime Transport Equipment,وزارة النقل والاتصالات وتقنية المعلومات,"Ministry of Transport, Communications and IT",127,,,من الحكومة إلى قطاع الأعمال(G2B),,خدمة تجديد تراخيص تأجير معدات النقل البحري الممنوحة من وزارة النقل والاتصالات وتقنية المعلومات.,"Service for renewing licenses to lease maritime transport equipment issued by the Ministry of Transport, Communications and IT.",,,البطاقة المدنية أو جواز السفر ; رخصة تأجير معدات النقل البحري الحالية ; شهادة تسجيل الشركة أو السجل التجاري ; إقرار بعدم وجود مخالفات بحرية,Civil ID or Passport ; Current maritime transport equipment leasing license ; Company registration certificate or commercial registration ; Declaration of no outstanding maritime violations,,,الكتروني,,,,,الموقع الإلكتروني,,+968 24410000,mtcit.gov.om,,,,,https://mtcit.gov.om/ar/5/13/92/635
